Date,Headline,Sentence
"MARCH 10, 2020","Coronavirus case at Apple's Irish HQ, Trinity College goes online","A worker at Apple's European headquarters in Cork in Ireland has tested positive for coronavirus, one of 24 cases reported so far in the country where its oldest university, Trinity College, has been forced to move all lectures online."
"MARCH 10, 2020",Coronavirus detected at Apple's European HQ in Ireland,A worker at Apple Inc.'s European headquarters in Ireland has tested positive for coronavirus.
"MARCH 9, 2020",Samsung Display asks Vietnam not to quarantine 700 engineers from virus-hit South Korea,"Samsung Display, a supplier for Samsung Electronics and Apple, has asked Vietnam to exempt 700 engineers from coronavirus-hit South Korea from a mandatory quarantine, saying they need to prepare for the production of screens for new smartphones."
"MARCH 9, 2020","Apple sells fewer than 500,000 smartphones in China in February amid coronavirus","Apple <AAPL.O> sold fewer than half a million iPhones in China in February, government data showed on Monday, as the coronavirus outbreak halved demand for smartphones."
"MARCH 9, 2020","Apple sells fewer than 500,000 smartphones in China in Feb amid coronavirus","Apple sold fewer than half a million smartphones in China in February, government data showed on Monday, as the coronavirus outbreak crippled demand."
"MARCH 8, 2020",BRIEF-Apple's Cook Offers Work From Home This Week to Most Staff- Bloomberg,* APPLE CEO TIM COOK OFFERED EMPLOYEES AT MOST OF ITS GLOBAL OFFICES THE ABILITY TO WORK FROM HOME AMID CORONAVIRUS OUTBREAK- BLOOMBERG
"MARCH 6, 2020",Apple asks Silicon Valley employees to work from home as virus spreads,"Apple Inc on Friday asked employees at its Silicon Valley headquarters to work from home if possible as a ""precaution,"" a spokesman confirmed to Reuters."
"MARCH 5, 2020",Apple loses bid to nix Caltech patent underlying $1.1 billion verdict,A federal appeals court on Thursday declined to rule invalid one of the patents underlying a $1.1 billion verdict the California Institute of Technology won against Apple Inc and Broadcom Inc.
"MARCH 5, 2020",Apple supplier Foxconn's revenue hammered by coronavirus fallout,Apple's manufacturing partner Foxconn <2317.TW> reported its biggest monthly drop in revenue in about seven years on Thursday as the coronavirus outbreak continued to play havoc with its business.
"MARCH 4, 2020","Apple, Netflix pull out of South by Southwest festival amid coronavirus outbreak","Apple Inc and Netflix Inc said they were pulling out of the South by Southwest music and tech festival to be held later this month, amid the coronavirus outbreak."
"MARCH 4, 2020",Apple pulls out of South by Southwest festival amid coronavirus outbreak,"Apple Inc is pulling out of this month's South by Southwest music and tech festival amid the coronavirus outbreak, a company spokesman said on Wednesday."
"MARCH 4, 2020",BRIEF-Apple Confirms It Is Dropping Out Of SXSW Conference- Bloomberg News Reporter Tweet,* APPLE CONFIRMS IT IS DROPPING OUT OF SXSW CONFERENCE- BLOOMBERG NEWS REPORTER TWEET Source text: http://bit.ly/2TncbK2 Further company coverage:
"MARCH 4, 2020",Apple supplier Skyworks cuts forecasts on supply chain hit,"Skyworks Solutions Inc <SWKS.O>, which supplies radio chips to Apple Inc's <AAPL.O> iPhones, cut its quarterly results forecasts on Wednesday, saying the coronavirus had disrupted distribution while stressing its largely Asia-based production facilities had been little affected..."
"MARCH 4, 2020",Apple supplier Skyworks sees no big production hit from coronavirus,"Skyworks Solutions Inc, a chip supplier to Apple Inc's iPhones, said on Wednesday the coronavirus has not significantly disrupted its manufacturing operations, sending its shares up 3%."
"MARCH 3, 2020",Virus to dent Foxconn's consumer electronics revenue in first-quarter,"Apple supplier Foxconn <2317.TW> warned revenue would drop 15% in businesses including consumer electronics and enterprise products in the first quarter, but that it would recover thereafter as production returns to normal in virus-hit China."
"MARCH 2, 2020",Apple to pay up to $500 million to settle U.S. lawsuit over slow iPhones,"Apple Inc has agreed to pay up to $500 million to settle litigation accusing it of quietly slowing down older iPhones as it launched new models, to induce owners to buy replacement phones or batteries."
"MARCH 2, 2020",Apple stock rebounds almost 7% to head for strongest day since 2018,"Shares in Apple <AAPL.O> surged 6.9% on Monday, helped by a broad Wall Street rebound and an upgraded rating from an analyst who said the iPhone maker's stock had become oversold following last week's rout related to fears about the new coronavirus."
"FEBRUARY 28, 2020","Apple closely watching coronavirus outbreak in South Korea, Italy: CEO","Apple Inc is closely watching how the coronavirus outbreak is unfolding in South Korea and Italy, where the company has suppliers, Chief Executive Officer Tim Cook said in an interview."
"FEBRUARY 28, 2020","Apple closely watching coronavirus outbreak in South Korea, Italy - Cook","Apple Inc is closely watching how the coronavirus outbreak is unfolding in South Korea and Italy where the company has suppliers, Chief Executive Officer Tim Cook said in an interview with the Fox Business Network."
"FEBRUARY 27, 2020",Chinese regulators remove 'Plague Inc' game from Apple's China app store,"The video game ""Plague Inc"", which has surged in popularity amid the coronavirus epidemic, has been removed from Apple's China app store after regulators said it contained illegal content, its developer said."
"FEBRUARY 25, 2020",Coronavirus clouds Apple's timeline for new iPhones,"Travel restrictions to China because of the coronavirus have come just as Apple Inc's engineers usually jet off to Asia to perfect the production of this fall's new iPhones, former employees and supply chain experts told Reuters."
"FEBRUARY 26, 2020",Apple investor vote sounds 'warning' over China app takedowns,"An Apple Inc shareholder proposal critical of the company's app removals in China received a relatively high level of support at the iPhone maker's annual meeting on Wednesday, enough to push the company to respond, experts said."
"FEBRUARY 26, 2020","Apple to open first retail store in India next year, Tim Cook says","Apple Inc will open its first physical retail store in India in 2021, Chief Executive Tim Cook said on Wednesday."
"FEBRUARY 25, 2020","Apple, J&J to study if Apple Watch app leads to lower stroke risk",Johnson & Johnson <JNJ.N> said on Tuesday it would partner with Apple Inc <AAPL.O> on a study to use an iPhone app and the Apple Watch to study how earlier detection of atrial fibrillation impacts stroke in people aged 65 or older.
"FEBRUARY 25, 2020",Coronavirus clouds Apple's timeline for new iPhones,"Travel restrictions to China because of the coronavirus have come just as Apple Inc's <AAPL.O> engineers usually jet off to Asia to perfect the production of this fall's new iPhones, former employees and supply chain experts told Reuters."
"FEBRUARY 25, 2020",Jabil sees profit hit from coronavirus,Apple supplier Jabil Inc said on Tuesday that its second-quarter earnings will be hit by the coronavirus epidemic.
"FEBRUARY 25, 2020","Apple, J&J to study if Apple Watch can help reduce stroke risk",Johnson & Johnson said on Tuesday it would partner with Apple on a study that would explore if an iPhone app along with Apple Watch's health features can help reduce the risk of stroke.
"FEBRUARY 24, 2020",U.S. Supreme Court rejects Apple appeal in patent fight with VirnetX,The U.S. Supreme Court on Monday refused to hear Apple Inc's bid to avoid paying about $440 million in damages for using patent licensing firm VirnetX Inc's internet security technology without permission in features such as FaceTime video calling.
"FEBRUARY 24, 2020",U.S. Supreme Court rejects Apple appeal in patent fight with VirnetX,The U.S. Supreme Court on Monday refused to hear Apple Inc's bid to avoid paying about $440 million in damages for using patent licensing firm VirnetX Inc's internet security technology without permission in features such as FaceTime video calling.
"FEBRUARY 22, 2020",BRIEF-Berkshire Hathaway Says Investment In Apple Totaled $73.7 Bln As Of Dec 31,"* INVESTMENT IN APPLE INC TOTALED $73.7 BILLION AS OF DEC 31, 2019"
"FEBRUARY 20, 2020",What secrets? Apple embroiled in row over book by German former executive,"Apple has become embroiled in a publishing row in Germany after it tried to halt sales of a book written by a former executive, saying it disclosed secrets about the App Store."
"FEBRUARY 20, 2020",Chip designer Dialog de-risks with $500 million Adesto deal,"Anglo-German chip designer Dialog Semiconductor <DLGS.DE> is buying California-based Adesto Technologies <IOTS.O> for $500 million to diversify further away from its reliance Apple <AAPL.O>, it said on Thursday."
"FEBRUARY 20, 2020",Chip designer Dialog de-risks with $500 mln Adesto deal,"Anglo-German chip designer Dialog Semiconductor is buying California-based Adesto Technologies for $500 million to diversify further away from its reliance Apple, it said on Thursday."
"FEBRUARY 19, 2020","REFILE-Fed policymakers cautiously optimistic on U.S. economy despite new risks, minutes show","Federal Reserve policymakers were cautiously optimistic about their ability to hold interest rates steady this year, minutes of the central bank's last policy meeting showed, even as they acknowledged new risks caused by the coronavirus outbreak."
"FEBRUARY 19, 2020",Apple and M. Night Shyamalan urge judge to dismiss 'Servant' copyright case,"Apple Inc and director M. Night Shyamalan on Tuesday asked a Los Angeles judge to dismiss a copyright lawsuit alleging ""Servant,"" a horror series they developed for Apple's new TV streaming service, plagiarized a 2013 film."
"FEBRUARY 19, 2020","US STOCKS-Futures rise on China stimulus hopes, signs of slowing virus spread",U.S. stock index futures advanced on Wednesday as signs of slowing coronavirus infections and expectations that China would take more steps to bolster its virus-hit economy helped investors return to equities after Apple's sales warning.
"FEBRUARY 18, 2020",REFILE-Japanese shares recoup as Apple regains some lost ground,"Japanese shares bounced back on Wednesday as sentiment improved slightly after Wall Street's major indexes closed off their lows and Apple trimmed its losses stemming from a sales warning, although the health crisis in China remained an overhang."
"FEBRUARY 18, 2020","Samsung poised to benefit from China virus woes afflicting Apple, other rivals","Samsung Electronics stands to be a major beneficiary of the China production problems announced by rival Apple Inc on Monday, reaping the rewards of a decade-long bet on low-cost smartphone manufacturing in Vietnam."
"FEBRUARY 18, 2020","CORRECTED-ANALYSIS- Samsung poised to benefit from China virus woes afflicting Apple, other rivals","Samsung Electronics stands to be a major beneficiary of the China production problems announced by rival Apple Inc on Monday, reaping the rewards of a decade-long bet on low-cost smartphone manufacturing in Vietnam."
"FEBRUARY 17, 2020","Stocks slide on Apple's virus warning, euro near three-year low","Gold rose and global equity markets slid on Tuesday after Apple Inc <AAPL.O> said it was unlikely to meet its sales guidance because of the coronavirus outbreak in China, a warning highlighting the epidemic's threat to global growth and corporate profits."
"FEBRUARY 18, 2020","Coronavirus threatens Apple supply chain, sales; shares drop","Shares of Apple Inc <AAPL.O> fell 2 % on Tuesday and dragged the stocks of its suppliers across the globe lower, after the iPhone maker warned of lower sales in the current quarter acknowledging that the coronavirus outbreak was pressuring its supply chain."
"FEBRUARY 18, 2020","Dow, S&P 500 decline after Apple's sales warning",The Dow and S&P 500 fell on Tuesday after a sales warning from Apple left investors assessing the impact of the coronavirus outbreak on U.S. companies.
"FEBRUARY 18, 2020","US STOCKS SNAPSHOT-Dow, S&P close lower but Nasdaq edges up after Apple warning",The Dow and S&P fell on Tuesday while the Nasdaq ended just above the unchanged mark as a sales warning from tech bellwether Apple highlighted the impact of the coronavirus outbreak on global supply chains.
"FEBRUARY 18, 2020","GLOBAL MARKETS-Stocks slide on Apple's virus warning, euro near three-year low",* Apple will miss quarterly revenue target due to coronavirus
"FEBRUARY 18, 2020",EMERGING MARKETS-Latam equities at one-week low as Apple warning sours risk appetite,"* Apple warns of revenue shortfall due to coronavirus * Latam stocks index hits 1-week low * Citi cuts growth forecast for Brazil (Updates prices, adds analysts' comment) By Sruthi Shankar Feb 18 (Reuters) - Latin American currencies and stocks came under pressure on Tuesday..."
"FEBRUARY 18, 2020","US STOCKS-Dow, S&P 500 down after Apple's sales warning but off session lows","* Dow down 0.5%, S&P down 0.2%, Nasdaq up 0.1% (Updates to late afternoon)"
"FEBRUARY 18, 2020",TREASURIES-Yields fall as Apple sales warning dents risk appetite,"(Adds inverted yield curve, updates prices) * Apple says unlikely to meet sales guidance * 30-year yields lowest since September By Karen Brettell NEW YORK, Feb 18 (Reuters) - U.S. Treasury yields fell on Tuesday after Apple Inc's warning it would miss its sales estimate..."
"FEBRUARY 18, 2020","PRECIOUS-Gold back above $1,600/oz as Apple's virus warning lifts safety demand","Gold surged over 1% on Tuesday to fetch more than $1,600 an ounce as Apple Inc's surprise warning about the impact of the coronavirus outbreak fueled concerns about global economic weakness, driving investors to lower-risk assets."
"FEBRUARY 18, 2020","Apple may miss mass production schedule for new, cheaper iPhone: Nikkei","Apple Inc will likely miss its schedule for mass producing a more affordable iPhone that it had planned to release this spring, the Nikkei Asian Review reported on Tuesday."
"FEBRUARY 18, 2020","Apple may miss mass production schedule for new, cheaper iPhone -Nikkei","Apple Inc will likely miss its schedule for mass producing a more affordable iPhone that it had planned to release this spring, the Nikkei Asian Review reported on Tuesday."
"FEBRUARY 18, 2020",US STOCKS-Wall Street skids after Apple's shock sales warning,"* Indexes down: Dow 0.75%, S&P 0.48%, Nasdaq 0.31% (Updates to early afternoon)"
"FEBRUARY 18, 2020","GLOBAL MARKETS-Stocks slide on Apple's virus warning, euro near three-year low",* Apple will miss quarterly revenue target due to coronavirus
"FEBRUARY 18, 2020",US STOCKS-Wall Street dragged down by Apple's shock sales warning,"* Indexes down: Dow 0.78%, S&P 0.60%, Nasdaq 0.35% (Adds comment, details; updates prices)"
"FEBRUARY 18, 2020",US STOCKS-Apple's surprise sales warning pressures Wall St,"* Kroger jumps as Berkshire Hathaway reveals $549 mln stake Indexes down: Dow 0.36%, S&P 0.22%, Nasdaq 0.20% (Updates to open)"
"FEBRUARY 18, 2020",EMERGING MARKETS-Latam assets shaky on fears of virus impact on companies,"* Apple warns of revenue shortfall due to coronavirus * Chilean peso hits 3-week low as copper prices slip * Colombian peso weak as oil prices fall over 2% By Shreyashi Sanyal Feb 18 (Reuters) - Latin American stocks and currencies slipped on Tuesday, after Apple Inc's sales..."
"FEBRUARY 18, 2020",US STOCKS SNAPSHOT-Wall Street slips at open following Apple's sales warning,"Shares of Apple Inc dragged down Wall Street's main indexes at the open on Tuesday, after a surprise sales warning from the iPhone maker fanned worries about the impact of the coronavirus outbreak in China on global supply chains."
"FEBRUARY 18, 2020",TREASURIES-Yields fall as Apple sales warning dents risk appetite,"* Apple says unlikely to meet sales guidance * Thirty-year yields lowest since September By Karen Brettell NEW YORK, Feb 18 (Reuters) - U.S. Treasury yields fell on Tuesday after Apple Inc warned that it would miss sales guidance due to manufacturing slowdowns caused by..."
"FEBRUARY 18, 2020",US STOCKS-Apple's surprise sales warning sets Wall St for lower open,"* Futures down: Dow 0.51%, S&P 0.39%, Nasdaq 0.54% (Adds comment, details; updates prices)"
"FEBRUARY 18, 2020","GLOBAL MARKETS-Apple virus warning shakes stocks, euro near three-year low",* Apple will miss quarterly revenue target due to coronavirus
"FEBRUARY 18, 2020",PRECIOUS-Gold scales two-week high as coronavirus hits business,"Gold climbed to a two-week high on Tuesday as investors sought safe havens after a revenue warning from iPhone maker Apple due to coronavirus, exacerbating fears of the outbreak's impact on global economic growth."
"FEBRUARY 18, 2020",US STOCKS-Apple's surprise sales warning pressures futures,U.S. stock index futures dropped on Tuesday as investors returned from a long weekend to a sales warning from Apple Inc that highlighted the impact of the coronavirus outbreak on global supply chains.
"FEBRUARY 18, 2020","If Apple is hurting due to the coronavirus, its suppliers and rivals likely are too",Apple Inc's <AAPL.O> surprise warning that it will likely fall short of this quarter's sales target due to the coronavirus epidemic points to much pain for its chip and other suppliers as well as for rivals who also rely on China to build their products.
"FEBRUARY 18, 2020",EMERGING MARKETS-EM stocks reel under pressure from virus impact on businesses,"Emerging market equities lost ground on Tuesday, as Apple Inc's sales warning fanned fears of the impact from the coronavirus outbreak on companies and global supply chains, while South Africa's rand weakened due to a dreary growth outlook."
"FEBRUARY 18, 2020","GLOBAL MARKETS-Apple hits stocks, euro near three-year low",* Apple will miss quarterly revenue target due to coronavirus
"FEBRUARY 17, 2020",Apple warns sales to fall short of target due to coronavirus impact,Apple Inc <AAPL.O> warned on Monday it was unlikely to meet its March quarter sales guidance set just three weeks ago as the world's most valuable technology firm became one of the biggest corporate casualties of China's coronavirus epidemic.
"FEBRUARY 18, 2020",Hong Kong shares slip as Apple's warning weighs on sentiment,Hong Kong stocks fell on Tuesday as Apple Inc's revenue warning due to slow production and weaker demand in virus-hit China took a toll on technology stocks.
"FEBRUARY 18, 2020","FTSE 100 tumbles as HSBC slips, Apple warns on sales","London's FTSE 100 slid to a two-week low on Tuesday, weighed down by a 4% drop in financial heavyweight HSBC as traders sold stocks globally after tech giant Apple warned of a shortfall in revenue due to the coronavirus epidemic."
"FEBRUARY 18, 2020",European shares slump as Apple warning hammers tech sector,"European shares dropped on Tuesday as a revenue warning from iPhone maker Apple Inc sent shockwaves through the tech sector, highlighting the impact of the coronavirus outbreak on global demand and supply."
"FEBRUARY 18, 2020",China stocks end lower as Apple warning raises economic impact fears,China's blue-chip stocks ended lower on Tuesday as Apple warned that it was unlikely to meet its March quarter sales forecast as the coronavirus slowed production and weakened demand in China.
"FEBRUARY 18, 2020",METALS-London copper dips as virus outbreak weighs on China demand,"London copper prices dipped on Tuesday on concerns over lower demand from top consumer, China, due to the coronavirus outbreak, which also took a toll on U.S. tech giant Apple Inc's revenue targets."
"FEBRUARY 17, 2020",PRECIOUS-Gold rises on rising business impact of virus outbreak,"* Break above $1595-$1,600/oz could signal further gains- analyst"
"FEBRUARY 18, 2020",China stocks halt advance as Apple warns on sales target,"China stocks fell on Tuesday, after tech giant Apple flagged it was unlikely to meet its quarterly sales outlook as the coronavirus outbreak slowed production and weakened demand in the country. ** At the midday break, the Shanghai Composite index was down 0.4% at 2,972.02..."
"FEBRUARY 17, 2020",JGBs rise as virus impact fuels equities sell-off,"Japanese government bond (JGB) prices gained broadly on Tuesday, as a slide in equities increased the appeal of the safe-haven debt after Apple Inc warned on quarterly revenue due to the coronavirus epidemic in China."
"FEBRUARY 17, 2020",Breakingviews - Apple jars investors into coronavirus realities,Apple could finally make investors as concerned as the wider population about the latest novel coronavirus. The iPhone maker warned on Monday that quarterly revenue would fall short of the $63 billion to $67 billion guidance it provided a few weeks ago because of supply...
"FEBRUARY 17, 2020",METALS-London copper eases as Apple warning underlines virus impact,"London copper prices fell on Tuesday as a revenue warning by Apple Inc highlighted the impact of the coronavirus outbreak on economic activity in China, the world's top consumer of the red metal."
"FEBRUARY 17, 2020",Nikkei falls to two-week low as Apple warning hurts technology stocks,"Japanese stocks fell to two-week low on Tuesday, dragged down by tech companies after Apple Inc warned it was unlikely to meet its sales target for the March quarter as the coronavirus outbreak hurt production and demand in China."
"FEBRUARY 17, 2020",PRECIOUS-Gold prices hit 2-week high as equities dip on virus impact,"Gold prices hit a two-week high on Tuesday as global equities retreated after Apple Inc flagged a revenue miss amid the coronavirus outbreak, sobering investor optimism. FUNDAMENTALS * Spot gold was up 0.3% at $1,586.19 per ounce, as of 0112 GMT. Earlier in the session,..."
"FEBRUARY 17, 2020",Oil prices slip as coronavirus concerns linger,"Oil prices slipped on Tuesday on lingering concerns over the economic impact of the coronavirus outbreak in China and its effect on oil demand, tracking losses in financial markets."
"FEBRUARY 17, 2020","GLOBAL MARKETS-U.S. stock futures retreat, Asia dips after Apple warns on virus impact",U.S. stock futures slipped from record levels on Tuesday after Apple Inc said it will not meet its revenue guidance for the March quarter as the coronavirus outbreak slowed production and weakened demand in China.
"FEBRUARY 17, 2020",BRIEF-Apple Says Does Not Expect To Meet Revenue Guidance Provided For March Quarter,* APPLE INC - DO NOT EXPECT TO MEET REVENUE GUIDANCE PROVIDED FOR MARCH QUARTER DUE TO TWO MAIN FACTORS
"FEBRUARY 17, 2020",Apple says will not meet revenue guidance for March quarter due to coronavirus outbreak,Apple Inc said on Monday that it will not meet its revenue guidance for the March quarter due to the coronavirus outbreak affecting both production and demand in China.
"FEBRUARY 14, 2020",Apple to reopen a store in Shanghai on February 15,"Apple Inc <AAPL.O> said on Friday it would reopen one of the seven retail stores it has in Shanghai from Feb. 15 with reduced working hours, a day after the iPhone maker said a few retail stores in Beijing would start functioning from Feb. 14."
"FEBRUARY 14, 2020",BRIEF-Apple Says It Will Reopen Its Store In Shanghai On Saturday,* APPLE SAYS IT WILL REOPEN ITS STORE IN SHANGHAI ON SATURDAY Further company coverage:
"FEBRUARY 14, 2020",BRIEF-Apple To Reopen Its Store In Shanghai On Saturday - CNBC,* APPLE TO REOPEN ITS STORE IN SHANGHAI ON SATURDAY - CNBC Further company coverage:
"FEBRUARY 14, 2020","BRIEF-Adage Capital Partners Ups Share Stake In J&J, Cuts Share Stake In Apple","* ADAGE CAPITAL PARTNERS GP LLC TAKES SHARE STAKE OF 668,168 SHARES IN 3M CO"
"FEBRUARY 13, 2020",Apple must pay retail workers for time spent in security checks - Calif. top court,"The California Supreme Court on Thursday said state law requires Apple Inc to pay retail employees for time spent having their bags and personal devices checked at the end of their shifts, in a ruling that could be costly for retailers and companies that operate factories..."
"FEBRUARY 13, 2020",Apple to reopen some stores in Beijing on February 14: website,"Apple will reopen some stores in Beijing from Feb. 14 with reduced opening hours, it said on its website, while many of its other stores in mainland China will remain shut as the country continues to battle a coronavirus outbreak."
"FEBRUARY 13, 2020",Apple to reopen some stores in Beijing on Feb. 14 -website,"Apple will reopen some stores in Beijing on Feb. 14 with reduced operating hours, it said on its website, while many of its other stores in mainland China will remain shut as the country continues to battle a coronavirus outbreak."
"FEBRUARY 11, 2020",Foxconn aims to resume half of output in virus-hit China by month-end: source,"Taiwan's Foxconn hopes to resume half of its production in China by month-end, a source told Reuters on Wednesday, as the supplier to tech giant Apple and others reopens plants shut over a coronavirus outbreak."
"FEBRUARY 11, 2020",Apple hires Warner Music veteran for business development at streaming unit,"Warner Music Group veteran Jeff Bronikowski said has joined Apple Inc as global head of strategic music initiatives, Apple said on Tuesday."
"FEBRUARY 11, 2020",Apple hires Warner Music veteran to oversee music initiatives,Warner Music Group veteran Jeff Bronikowski said in a LinkedIn post late Monday that he has joined Apple Inc as global head of strategic music initiatives.
"FEBRUARY 10, 2020",U.S. appeals court denies Apple bid for rehearing in VirnetX patent case,A U.S. appeals court on Monday denied a request by Apple Inc <AAPL.O> that it reconsider a decision upholding a finding Apple iPhones infringed VirnetX Holding Corp patents relating to secure communications technology.
"FEBRUARY 10, 2020",U.S. appeals court denies Apple bid for rehearing in VirnetX patent case,A U.S. appeals court on Monday denied a request by Apple Inc that it reconsider a November 2019 decision that upheld a finding that Apple iPhones infringed two VirnetX Holding Corp patents relating to secure communications technology. (Reporting by Jan Wolfe)
"FEBRUARY 9, 2020",Apple's main iPhone maker Foxconn to resume some Chinese production: source,"Apple's main iPhone maker Foxconn <2317.TW> got the green light on Monday to reopen two major plants in China closed because of the coronavirus and aims to resume production even though only 10% of the workforce has returned so far, a source told Reuters."
"FEBRUARY 10, 2020",Apple iPhone maker Foxconn approved to resume Shenzhen plant production: source,"Apple iPhone maker Foxconn <2317.TW> has received Chinese government approval to resume production at a key plant in the southern city of Shenzhen, a source with direct knowledge of the situation told Reuters late on Monday."
"FEBRUARY 10, 2020",Apple iPhone maker Foxconn approved to resume Shenzhen plant production -source,"Apple iPhone maker Foxconn has received Chinese government approval to resume production at a key plant in the southern city of Shenzhen, a source with direct knowledge of the situation told Reuters late on Monday."
"FEBRUARY 9, 2020",China's Shenzhen denies blocking Apple supplier Foxconn from resuming production,"Local Chinese authorities have not blocked Apple <AAPL.O> supplier Foxconn <2317.TW> from resuming production amid a coronavirus outbreak, they said in a statement on Sunday, denying an earlier report in the Nikkei Business Daily."
"FEBRUARY 7, 2020",Apple to delay reopening of retail stores in China,"Apple Inc is extending its retail store closures in China due to the coronavirus outbreak, even as it worked toward opening its corporate offices and contact centers, the iPhone maker said on Friday."
"FEBRUARY 7, 2020",BRIEF-Apple Says Working Toward Re-Opening Corporate Offices And Contact Centers In China In The Week Of February 10,* APPLE SAYS WORKING TOWARD RE-OPENING CORPORATE OFFICES AND CONTACT CENTERS IN CHINA IN THE WEEK OF FEBRUARY 10
"FEBRUARY 7, 2020",BRIEF-French consumer regulatory body fines Apple €25 mln,* HAS BEEN FINED 25 MILLION EUROS BY FRENCH CONSUMER REGULATORY BODY DGCCRF Source text for Eikon: Further company coverage: (Paris Newsroom)
"FEBRUARY 5, 2020",Free trials boost Spotify subscribers at cost of revenue,"Spotify Technology SA on Wednesday forecast current-quarter revenue largely below analysts' estimates, as the streaming service spends more on promotions to lure listeners in its battle against Apple Music and Amazon."
"FEBRUARY 4, 2020",Exclusive: iPhone app makers questioned in U.S. antitrust probe of Apple - sources,"The U.S. Justice Department has reached out to app developers as part of its investigation into Apple Inc <AAPL.O>, one of the four big tech companies being probed for alleged anti-competitive behavior, according one of the developers and another person familiar with the..."
"FEBRUARY 3, 2020",Goldman in talks with Amazon to offer small business loans: FT,"Goldman Sachs Group Inc <GS.N> is in advanced talks with Amazon.com Inc <AMZN.O> to offer small- and medium-sized businesses loans in the United States on the e-commerce giant's lending platform, the Financial Times reported on Monday."
"FEBRUARY 3, 2020",Apple supplier Wistron to assemble key iPhone component in new India plant: sources,"Taiwan's Wistron Corp plans to assemble printed circuit boards (PCBs) for iPhones at its new plant in southern India, two sources said, highlighting Apple Inc's push to expand manufacturing in the world's second-biggest smartphone market."
"FEBRUARY 1, 2020",Apple to close all China mainland stores due to virus outbreak,Apple Inc on Saturday said it would shut all of its official stores and corporate offices in mainland China until Feb 9. as fears over the coronavirus outbreak mounted and the death toll more than doubled to over 250 from a week ago.
"FEBRUARY 1, 2020",Apple to shut down all official stores in Chinese mainland due to virus outbreak,"Apple Inc on Saturday said it has decided to shut down all of its official stores in mainland China until Feb 9., as fears over the coronavirus outbreak mounted and the death toll more than doubled to over 250 from a week ago."
"JANUARY 31, 2020",Apple supplier Japan Display gets $920 million bailout from Ichigo,"Japan Display Inc <6740.T> said on Friday it had sealed a deal to receive up to 100.8 billion yen ($918.87 million) from Ichigo Asset Management, a critical bailout for the Apple supplier that has been dependant on publicly funded rescues."
"JANUARY 30, 2020","LG Display looks to a more positive 2020 on OLED demand, shares rise","Apple supplier LG Display Co Ltd posted a smaller-than-expected quarterly loss on Friday and offered an optimistic outlook for the year on higher demand for its organic light-emitting diode (OLED) panels, sending its shares up 4%."
"JANUARY 30, 2020","SK Hynix Q4 profit tumbles 95%, hit by prolonged chip downturn","South Korea's SK Hynix , a chip supplier to Apple Inc and Huawei , said on Friday its fourth-quarter operating profit slumped 95%, missing analysts' estimates, as chip prices were hit by oversupply and a demand slowdown."
"JANUARY 30, 2020",Apple supplier LG Display posts fourth quarterly loss in a row,"Apple supplier LG Display Co Ltd reported its fourth quarterly operating loss in a row on Friday, hit by lower liquid crystal display (LCD) panel prices and restructuring costs."
"JANUARY 30, 2020",Apple redesigns mapping app for U.S. users,"Apple Inc said on Thursday it has rolled out a redesigned version of its Maps for users in the United States, offering features including indoor maps of airports and malls."
"JANUARY 30, 2020","EU lawmakers, with eye on Apple, call for common mobile charger","EU lawmakers overwhelmingly called on Thursday for rules to establish a common charger for all mobile device makers across Europe, a drive that iPhone maker Apple has criticised."
"JANUARY 29, 2020","CalTech wins $1.1 billion jury verdict in patent case against Apple, Broadcom",The California Institute of Technology said on Wednesday that it won a $1.1 billion jury verdict in a patent case against Apple <AAPL.O> and Broadcom <AVGO.O>.
"JANUARY 29, 2020",US STOCKS SNAPSHOT-S&P 500 fades to end lower after Fed policy announcement,"The S&P 500 ended slightly lower on Wednesday, as an initial boost from the likes of Apple Inc, Boeing Co and General Electric Co following their quarterly results faded in the wake of the policy announcement from the Federal Reserve."
"JANUARY 29, 2020","US STOCKS-Apple, Boeing lift Wall Street as Fed stands pat","* Dow up 0.57%, S&P 500 up 0.45%, Nasdaq up 0.54% (Updates with Fed statement; changes byline)"
"JANUARY 29, 2020","US STOCKS-Apple, Boeing lift Wall Street ahead of Fed decision","* Indexes up: Dow 0.38%, S&P 0.29%, Nasdaq 0.34% (Updates to early afternoon)"
"JANUARY 29, 2020",Apple's iPhone strength is back and analysts say it is here to stay,"Wall Street analysts were smitten by a rebound in sales of Apple Inc's <AAPL.O> iPhones after a year of decline and said strong demand for new models, spurred by trade-in programs and heavy discounts on older models, will drive growth this year."
"JANUARY 29, 2020","US STOCKS-Wall St edges higher on Apple, Boeing strength; Fed in focus",* Starbucks slips as coronavirus prompts store closures in China
"JANUARY 29, 2020","US STOCKS SNAPSHOT-Apple, Boeing bolster Wall Street at open","Wall Street opened higher on Wednesday as a surge in shares of Apple, Boeing and General Electric after their results overshadowed concerns over the economic impact of a fast-spreading coronavirus."
"JANUARY 29, 2020",US STOCKS-Futures gain as Apple earnings take some focus off virus concerns,U.S. stock index futures rose on Wednesday as strong results from Apple and other marquee companies kicked fourth-quarter earnings into top gear and overshadowed concerns over the economic impact of the fast-spreading coronavirus.
